transaction_id,listing_id,buyer_id,transaction_date,final_price
108,179,45,2024-02-29,116.35
109,184,41,2024-08-26,46.54
110,186,99,2024-02-23,130.49
111,190,67,2025-01-04,136.27
112,196,74,2024-11-17,101.85
113,197,20,2024-02-22,123.29
114,200,74,2024-05-24,87.65
115,201,89,2024-12-15,72.81
116,203,82,2024-07-02,81.34
117,204,95,2024-04-21,93.02
118,205,41,2024-09-05,12.03
119,206,37,2024-05-01,71.36
120,212,79,2024-08-23,142.77
121,213,77,2024-10-06,37.21
122,214,58,2024-05-06,74.93
123,215,49,2024-03-21,59.5
124,216,16,2024-02-17,106.15
125,217,45,2024-12-29,52.98
126,219,5,2024-03-26,121.08
127,220,37,2024-01-14,15.4
128,221,1,2024-02-03,40.37
129,222,26,2024-01-29,104.21
130,223,17,2024-03-01,108.83
131,224,48,2024-12-25,58.92
132,225,60,2024-03-31,17.86
133,229,11,2024-02-17,69.92
134,232,35,2024-05-14,56.47
135,233,58,2024-05-01,5.74
136,234,3,2024-03-16,7.13
137,235,50,2024-08-25,76.1
138,236,80,2024-12-16,35.8
139,237,58,2024-02-23,42.0
140,239,19,2024-03-09,80.3
141,240,33,2024-01-17,50.32
142,243,57,2024-10-20,112.98
143,244,23,2024-07-29,51.15
144,246,38,2024-07-25,101.9
145,248,72,2024-09-29,13.32
146,251,7,2024-03-06,125.71
147,254,24,2024-08-18,48.03
148,255,74,2024-04-03,81.92
149,256,52,2024-07-28,77.12
150,258,86,2024-02-05,132.51
151,260,6,2024-12-16,56.47
152,261,27,2024-01-30,88.23
153,262,5,2024-12-11,141.8
154,263,65,2024-12-14,65.74
155,264,87,2024-08-18,12.3
156,266,33,2024-08-27,40.73
157,267,58,2024-03-31,120.78
158,269,23,2024-06-07,34.46
159,270,9,2024-05-04,87.02
160,271,68,2024-07-17,45.7
161,272,29,2024-07-17,126.87
162,273,88,2024-11-29,16.49
163,274,19,2024-02-11,99.04
164,276,41,2024-03-06,33.38
165,277,72,2024-11-24,34.61
166,278,90,2024-05-22,117.73
167,280,26,2024-10-14,120.84
168,281,40,2024-10-30,22.5
169,282,76,2024-01-25,12.61
170,288,20,2024-03-27,52.19
171,289,92,2024-10-29,22.06
172,293,25,2024-12-25,12.66
173,295,6,2024-10-28,109.15
174,296,63,2024-08-02,82.32
175,298,2,2024-09-02,135.77
176,299,79,2024-05-23,60.4
177,300,29,2024-08-05,57.95
